Turn 1, Prize = Life 30 min
Turn 83, Prize = Gem 35
Turn 84, Prize = Hammer 3X
Turn 85, Prize = Hammer 1X
Turn 86, Prize = Hammer 3X
Turn 87, Prize = Gem 75
Turn 88, Prize = Life 30 min
Turn 89, Prize = Life 30 min
Turn 90, Prize = Brush 3X
Turn 91, Prize = Life 30 min
Turn 92, Prize = Hammer 1X
Turn 93, Prize = Hammer 3X
Turn 94, Prize = Life 30 min
Turn 95, Prize = Brush 1X
Turn 96, Prize = Brush 1X
Turn 97, Prize = Gem 35
Turn 98, Prize = Coin 750
Turn 99, Prize = Life 30 min
Turn 100, Prize = Life 30 min
Turn 101, Prize = Gem 35
Turn 102, Prize = Life 30 min
Turn 103, Prize = Gem 35
Turn 104, Prize = Brush 1X
Turn 105, Prize = Life 30 min
Turn 106, Prize = Coin 750
Turn 107, Prize = Brush 3X
Turn 108, Prize = Hammer 3X
Turn 109, Prize = Brush 1X
Turn 110, Prize = Gem 35
Turn 111, Prize = Brush 3X
Turn 112, Prize = Life 30 min
Turn 113, Prize = Gem 35
Turn 114, Prize = Hammer 3X
Turn 115, Prize = Hammer 1X
Turn 116, Prize = Gem 35
Turn 117, Prize = Hammer 1X
Turn 118, Prize = Life 30 min
Turn 119, Prize = Life 30 min
Turn 120, Prize = Hammer 3X
Turn 121, Prize = Gem 35
Turn 122, Prize = Hammer 3X
Turn 123, Prize = Hammer 3X
Turn 124, Prize = Gem 35
Turn 125, Prize = Brush 3X
Turn 126, Prize = Brush 3X
Turn 127, Prize = Hammer 3X
Turn 128, Prize = Life 30 min
Turn 129, Prize = Life 30 min
Turn 130, Prize = Hammer 1X
Turn 131, Prize = Brush 1X
Turn 132, Prize = Hammer 1X
Turn 133, Prize = Hammer 3X
Turn 134, Prize = Hammer 1X
Turn 135, Prize = Hammer 3X
Turn 136, Prize = Brush 3X
Turn 137, Prize = Brush 1X
Turn 138, Prize = Brush 1X
Turn 139, Prize = Hammer 1X
Turn 140, Prize = Gem 35
Turn 141, Prize = Hammer 3X
Turn 142, Prize = Brush 1X
Turn 143, Prize = Hammer 1X
Turn 144, Prize = Hammer 1X
Turn 145, Prize = Brush 1X
Turn 146, Prize = Brush 1X
Turn 147, Prize = Brush 1X
Turn 148, Prize = Brush 1X
Turn 149, Prize = Hammer 3X
Turn 150, Prize = Life 30 min
Turn 151, Prize = Gem 35
Turn 152, Prize = Hammer 1X
Turn 153, Prize = Brush 3X
Turn 154, Prize = Brush 3X
Turn 155, Prize = Brush 1X
Turn 156, Prize = Hammer 3X
Turn 157, Prize = Brush 1X
Turn 158, Prize = Brush 1X
Turn 159, Prize = Life 30 min
Turn 160, Prize = Brush 1X
Turn 161, Prize = Brush 1X
Turn 162, Prize = Brush 1X
Turn 163, Prize = Gem 35
Turn 164, Prize = Gem 75
Turn 165, Prize = Life 30 min
Turn 166, Prize = Brush 1X
Turn 167, Prize = Coin 750
Turn 168, Prize = Hammer 1X
Turn 169, Prize = Brush 3X
Turn 170, Prize = Brush 1X
Turn 171, Prize = Brush 1X
Turn 172, Prize = Hammer 1X
Turn 173, Prize = Brush 1X
Turn 174, Prize = Life 30 min
Turn 175, Prize = Hammer 1X
Turn 176, Prize = Hammer 1X
Turn 177, Prize = Brush 3X
Turn 178, Prize = Gem 35
Turn 179, Prize = Hammer 1X
Turn 180, Prize = Hammer 3X
Turn 181, Prize = Life 30 min
Turn 182, Prize = Brush 3X
Turn 183, Prize = Coin 750
Turn 184, Prize = Life 30 min
Turn 185, Prize = Brush 3X
Turn 186, Prize = Life 30 min
Turn 187, Prize = Life 30 min
Turn 188, Prize = Hammer 1X
Turn 189, Prize = Gem 35
Turn 190, Prize = Hammer 1X
Turn 191, Prize = Brush 1X
Turn 192, Prize = Brush 1X
Turn 193, Prize = Gem 35
Turn 194, Prize = Gem 75
Turn 195, Prize = Hammer 1X
Turn 196, Prize = Hammer 1X
Turn 197, Prize = Hammer 1X
Turn 198, Prize = Brush 1X
Turn 199, Prize = Brush 1X
Turn 200, Prize = Hammer 1X
Turn 201, Prize = Brush 1X
Turn 202, Prize = Life 30 min
Turn 203, Prize = Life 30 min
Turn 204, Prize = Life 30 min
Turn 205, Prize = Hammer 3X
Turn 206, Prize = Hammer 1X
Turn 207, Prize = Life 30 min
Turn 208, Prize = Hammer 3X
Turn 209, Prize = Life 30 min
Turn 210, Prize = Brush 1X
Turn 211, Prize = Hammer 1X
Turn 212, Prize = Brush 3X
Turn 213, Prize = Hammer 1X
Turn 214, Prize = Hammer 1X
Turn 215, Prize = Gem 35
Turn 216, Prize = Life 30 min
Turn 217, Prize = Hammer 3X
Turn 218, Prize = Brush 3X
Turn 219, Prize = Brush 1X
Turn 220, Prize = Brush 1X
Turn 221, Prize = Hammer 1X
Turn 222, Prize = Brush 1X
Turn 223, Prize = Gem 35
Turn 224, Prize = Brush 1X
Turn 225, Prize = Hammer 1X
Turn 226, Prize = Brush 1X
Turn 227, Prize = Hammer 1X
Turn 228, Prize = Hammer 1X
Turn 229, Prize = Life 30 min
Turn 230, Prize = Hammer 3X
Turn 231, Prize = Brush 3X
Turn 232, Prize = Gem 35
Turn 233, Prize = Gem 35
Turn 234, Prize = Hammer 1X
Turn 235, Prize = Life 30 min
Turn 236, Prize = Life 30 min
Turn 237, Prize = Gem 35
Turn 238, Prize = Hammer 1X
Turn 239, Prize = Brush 3X
Turn 240, Prize = Brush 1X
Turn 241, Prize = Gem 35
Turn 242, Prize = Hammer 1X
Turn 243, Prize = Brush 1X
Turn 244, Prize = Life 30 min
Turn 245, Prize = Life 30 min
Turn 246, Prize = Brush 1X
Turn 247, Prize = Brush 3X
Turn 248, Prize = Life 30 min
Turn 249, Prize = Brush 1X
Turn 250, Prize = Hammer 3X
Turn 251, Prize = Life 30 min
Turn 252, Prize = Brush 3X
Turn 253, Prize = Gem 35
Turn 254, Prize = Gem 35
Turn 255, Prize = Brush 1X
Turn 256, Prize = Gem 75
Turn 257, Prize = Brush 3X
Turn 258, Prize = Hammer 1X
Turn 259, Prize = Brush 1X
Turn 260, Prize = Brush 1X
Turn 261, Prize = Brush 1X
Turn 262, Prize = Gem 75
Turn 263, Prize = Gem 35
Turn 264, Prize = Life 30 min
Turn 265, Prize = Gem 75
Turn 266, Prize = Gem 35
Turn 267, Prize = Brush 3X
Turn 268, Prize = Brush 1X
Turn 269, Prize = Gem 35
Turn 270, Prize = Hammer 1X
Turn 271, Prize = Life 30 min
Turn 272, Prize = Brush 3X
Turn 273, Prize = Hammer 3X
Turn 274, Prize = Gem 35
Turn 275, Prize = Life 30 min
Turn 276, Prize = Brush 1X
Turn 277, Prize = Hammer 1X
Turn 278, Prize = Gem 35
Turn 279, Prize = Brush 1X
Turn 280, Prize = Life 30 min
Turn 281, Prize = Brush 1X
Turn 282, Prize = Gem 35
Turn 283, Prize = Gem 35
Turn 284, Prize = Life 30 min
Turn 285, Prize = Hammer 3X
Turn 286, Prize = Hammer 3X
Turn 287, Prize = Life 30 min
Turn 288, Prize = Coin 750
Turn 289, Prize = Coin 750
Turn 290, Prize = Hammer 1X
Turn 291, Prize = Gem 35
Turn 292, Prize = Coin 750
Turn 293, Prize = Hammer 1X
Turn 294, Prize = Brush 1X
Turn 295, Prize = Brush 1X
Turn 296, Prize = Brush 1X
Turn 297, Prize = Hammer 1X
Turn 298, Prize = Hammer 1X
Turn 299, Prize = Life 30 min
Turn 300, Prize = Hammer 1X
Turn 301, Prize = Life 30 min
Turn 302, Prize = Hammer 1X
Turn 303, Prize = Hammer 1X
Turn 304, Prize = Life 30 min
Turn 305, Prize = Life 30 min
Turn 306, Prize = Hammer 1X
Turn 307, Prize = Brush 1X
Turn 308, Prize = Brush 3X
Turn 309, Prize = Hammer 3X
Turn 310, Prize = Brush 3X
Turn 311, Prize = Life 30 min
Turn 312, Prize = Gem 35
Turn 313, Prize = Brush 3X
Turn 314, Prize = Hammer 3X
Turn 315, Prize = Brush 1X
Turn 316, Prize = Hammer 1X
Turn 317, Prize = Coin 750
Turn 318, Prize = Brush 1X
Turn 319, Prize = Brush 1X
Turn 320, Prize = Life 30 min
Turn 321, Prize = Life 30 min
Turn 322, Prize = Life 30 min
Turn 323, Prize = Hammer 1X
Turn 324, Prize = Life 30 min
Turn 325, Prize = Brush 3X
Turn 326, Prize = Life 30 min
Turn 327, Prize = Brush 3X
Turn 328, Prize = Life 30 min
Turn 329, Prize = Hammer 3X
Turn 330, Prize = Hammer 3X
Turn 331, Prize = Brush 1X
Turn 332, Prize = Gem 35
Turn 333, Prize = Gem 35
Turn 334, Prize = Hammer 1X
Turn 335, Prize = Hammer 3X
Turn 336, Prize = Brush 1X
Turn 337, Prize = Brush 1X
Turn 338, Prize = Hammer 1X
Turn 339, Prize = Brush 3X
Turn 340, Prize = Life 30 min
Turn 341, Prize = Brush 3X
Turn 342, Prize = Brush 3X
Turn 343, Prize = Life 30 min
Turn 344, Prize = Brush 1X
Turn 345, Prize = Hammer 1X
Turn 346, Prize = Gem 75
Turn 347, Prize = Gem 35
Turn 348, Prize = Coin 750
Turn 349, Prize = Hammer 1X
Turn 350, Prize = Brush 3X
Turn 351, Prize = Hammer 3X
Turn 352, Prize = Hammer 1X
Turn 353, Prize = Gem 35
Turn 354, Prize = Hammer 3X
Turn 355, Prize = Brush 3X
Turn 356, Prize = Brush 3X
Turn 357, Prize = Life 30 min
Turn 358, Prize = Brush 3X
Turn 359, Prize = Hammer 1X
Turn 360, Prize = Coin 750
Turn 361, Prize = Hammer 1X
Turn 362, Prize = Life 30 min
Turn 363, Prize = Gem 35
Turn 364, Prize = Brush 1X
Turn 365, Prize = Hammer 3X
Turn 366, Prize = Gem 75
Turn 367, Prize = Coin 750
Turn 368, Prize = Coin 750
Turn 369, Prize = Brush 1X
Turn 370, Prize = Coin 750
Turn 371, Prize = Hammer 3X
Turn 372, Prize = Hammer 1X
Turn 373, Prize = Brush 1X
Turn 374, Prize = Hammer 3X
Turn 375, Prize = Brush 3X
Turn 376, Prize = Gem 35
Turn 377, Prize = Gem 35
Turn 378, Prize = Coin 750
Turn 379, Prize = Brush 1X
Turn 380, Prize = Brush 1X
Turn 381, Prize = Life 30 min
Turn 382, Prize = Brush 1X
Turn 383, Prize = Hammer 3X
Turn 384, Prize = Brush 3X
Turn 385, Prize = Life 30 min
Turn 386, Prize = Brush 1X
Turn 387, Prize = Brush 1X
Turn 388, Prize = Brush 3X
Turn 389, Prize = Brush 1X
Turn 390, Prize = Hammer 1X
Turn 391, Prize = Brush 1X
Turn 392, Prize = Brush 3X
Turn 393, Prize = Hammer 1X
Turn 394, Prize = Life 30 min
Turn 395, Prize = Gem 35
Turn 396, Prize = Hammer 1X
Turn 397, Prize = Hammer 3X
Turn 398, Prize = Hammer 3X
Turn 399, Prize = Hammer 1X
Turn 400, Prize = Hammer 3X
Turn 401, Prize = Brush 1X
Turn 402, Prize = Life 30 min
Turn 403, Prize = Life 30 min
Turn 404, Prize = Brush 3X
Turn 405, Prize = Brush 1X
Turn 406, Prize = Hammer 1X
Turn 407, Prize = Hammer 1X
Turn 408, Prize = Life 30 min
Turn 409, Prize = Life 30 min
Turn 410, Prize = Brush 1X
Turn 411, Prize = Brush 3X
Turn 412, Prize = Coin 750
Turn 413, Prize = Gem 75
Turn 414, Prize = Gem 35
Turn 415, Prize = Hammer 1X
Turn 416, Prize = Hammer 3X
Turn 417, Prize = Gem 75
Turn 418, Prize = Gem 75
Turn 419, Prize = Brush 3X
Turn 420, Prize = Coin 750
Turn 421, Prize = Hammer 1X
Turn 422, Prize = Gem 75
Turn 423, Prize = Hammer 1X
Turn 424, Prize = Hammer 1X
Turn 425, Prize = Brush 3X
Turn 426, Prize = Life 30 min
Turn 427, Prize = Hammer 1X
Turn 428, Prize = Hammer 1X
Turn 429, Prize = Hammer 1X
Turn 430, Prize = Gem 75
Turn 431, Prize = Coin 750
Turn 432, Prize = Gem 35
Turn 433, Prize = Hammer 1X
Turn 434, Prize = Life 30 min
Turn 435, Prize = Brush 3X
Turn 436, Prize = Brush 3X
Turn 437, Prize = Coin 750
Turn 438, Prize = Hammer 1X
Turn 439, Prize = Brush 1X
Turn 440, Prize = Brush 3X
Turn 441, Prize = Gem 35
Turn 442, Prize = Hammer 1X
Turn 443, Prize = Brush 3X
Turn 444, Prize = Brush 1X
Turn 445, Prize = Gem 35
Turn 446, Prize = Hammer 3X
Turn 447, Prize = Brush 3X
Turn 448, Prize = Gem 35
Turn 449, Prize = Brush 1X
Turn 450, Prize = Life 30 min
Turn 451, Prize = Life 30 min
Turn 452, Prize = Hammer 1X
Turn 453, Prize = Brush 1X
Turn 454, Prize = Gem 75
Turn 455, Prize = Gem 75
Turn 456, Prize = Gem 35
Turn 457, Prize = Gem 35
Turn 458, Prize = Brush 3X
Turn 459, Prize = Brush 3X
Turn 460, Prize = Brush 1X
Turn 461, Prize = Hammer 1X
Turn 462, Prize = Hammer 3X
Turn 463, Prize = Hammer 1X
Turn 464, Prize = Hammer 3X
Turn 465, Prize = Hammer 1X
Turn 466, Prize = Brush 3X
Turn 467, Prize = Brush 1X
Turn 468, Prize = Life 30 min
Turn 469, Prize = Coin 750
Turn 470, Prize = Life 30 min
Turn 471, Prize = Life 30 min
Turn 472, Prize = Gem 35
Turn 473, Prize = Brush 1X
Turn 474, Prize = Hammer 1X
Turn 475, Prize = Hammer 1X
Turn 476, Prize = Brush 1X
Turn 477, Prize = Brush 3X
Turn 478, Prize = Life 30 min
Turn 479, Prize = Hammer 1X
Turn 480, Prize = Brush 1X
Turn 481, Prize = Gem 35
Turn 482, Prize = Coin 750
Turn 483, Prize = Brush 3X
Turn 484, Prize = Life 30 min
Turn 485, Prize = Brush 1X
Turn 486, Prize = Gem 75
Turn 487, Prize = Brush 1X
Turn 488, Prize = Hammer 1X
Turn 489, Prize = Brush 3X
Turn 490, Prize = Hammer 1X
Turn 491, Prize = Hammer 1X
Turn 492, Prize = Life 30 min
Turn 493, Prize = Gem 35
Turn 494, Prize = Gem 35
Turn 495, Prize = Life 30 min
Turn 496, Prize = Life 30 min
Turn 497, Prize = Hammer 1X
Turn 498, Prize = Life 30 min
Turn 499, Prize = Hammer 3X
Turn 500, Prize = Hammer 3X
Turn 501, Prize = Hammer 3X
Turn 502, Prize = Gem 35
Turn 503, Prize = Hammer 1X
Turn 504, Prize = Gem 35
Turn 505, Prize = Life 30 min
Turn 506, Prize = Life 30 min
Turn 507, Prize = Brush 3X
Turn 508, Prize = Hammer 1X
Turn 509, Prize = Coin 750
Turn 510, Prize = Life 30 min
Turn 511, Prize = Life 30 min
Turn 512, Prize = Hammer 1X
Turn 513, Prize = Brush 1X
Turn 514, Prize = Hammer 1X
Turn 515, Prize = Hammer 1X
Turn 516, Prize = Hammer 3X
Turn 517, Prize = Gem 35
Turn 518, Prize = Life 30 min
Turn 519, Prize = Hammer 3X
Turn 520, Prize = Brush 1X
Turn 521, Prize = Brush 1X
Turn 522, Prize = Life 30 min
Turn 523, Prize = Gem 35
Turn 524, Prize = Life 30 min
Turn 525, Prize = Life 30 min
Turn 526, Prize = Hammer 1X
Turn 527, Prize = Brush 1X
Turn 528, Prize = Gem 75
Turn 529, Prize = Hammer 1X
Turn 530, Prize = Hammer 1X
Turn 531, Prize = Life 30 min
Turn 532, Prize = Brush 3X
Turn 533, Prize = Gem 35
Turn 534, Prize = Hammer 3X
Turn 535, Prize = Brush 1X
Turn 536, Prize = Brush 1X
Turn 537, Prize = Life 30 min
Turn 538, Prize = Hammer 1X
Turn 539, Prize = Hammer 1X
Turn 540, Prize = Hammer 1X
Turn 541, Prize = Hammer 1X
Turn 542, Prize = Hammer 3X
Turn 543, Prize = Gem 35
Turn 544, Prize = Brush 1X
Turn 545, Prize = Brush 3X
Turn 546, Prize = Brush 1X
Turn 547, Prize = Hammer 1X
Turn 548, Prize = Brush 1X
Turn 549, Prize = Life 30 min
Turn 550, Prize = Brush 1X
Turn 551, Prize = Coin 750
Turn 552, Prize = Brush 1X
Turn 553, Prize = Hammer 1X
Turn 554, Prize = Brush 3X
Turn 555, Prize = Hammer 3X
Turn 556, Prize = Gem 75
Turn 557, Prize = Life 30 min
Turn 558, Prize = Life 30 min
Turn 559, Prize = Life 30 min
Turn 560, Prize = Brush 1X
Turn 561, Prize = Brush 3X
Turn 562, Prize = Gem 35
Turn 563, Prize = Brush 1X
Turn 564, Prize = Life 30 min
Turn 565, Prize = Life 30 min
Turn 566, Prize = Brush 1X
Turn 567, Prize = Brush 1X
Turn 568, Prize = Life 30 min
Turn 569, Prize = Hammer 1X
Turn 570, Prize = Gem 35
Turn 571, Prize = Brush 1X
Turn 572, Prize = Brush 1X
Turn 573, Prize = Brush 1X
Turn 574, Prize = Brush 1X
Turn 575, Prize = Hammer 3X
Turn 576, Prize = Life 30 min
Turn 577, Prize = Gem 35
Turn 578, Prize = Life 30 min
Turn 579, Prize = Hammer 3X
Turn 580, Prize = Life 30 min
Turn 581, Prize = Hammer 1X
Turn 582, Prize = Life 30 min
Turn 583, Prize = Brush 1X
Turn 584, Prize = Life 30 min
Turn 585, Prize = Life 30 min
Turn 586, Prize = Hammer 3X
Turn 587, Prize = Life 30 min
Turn 588, Prize = Brush 1X
Turn 589, Prize = Brush 1X
Turn 590, Prize = Hammer 1X
Turn 591, Prize = Gem 75
Turn 592, Prize = Hammer 1X
Turn 593, Prize = Brush 1X
Turn 594, Prize = Brush 3X
Turn 595, Prize = Hammer 1X
Turn 596, Prize = Life 30 min
Turn 597, Prize = Life 30 min
Turn 598, Prize = Brush 3X
Turn 599, Prize = Gem 75
Turn 600, Prize = Gem 35
Turn 601, Prize = Brush 3X
Turn 602, Prize = Hammer 3X
Turn 603, Prize = Hammer 3X
Turn 604, Prize = Gem 35
Turn 605, Prize = Brush 3X
Turn 606, Prize = Brush 1X
Turn 607, Prize = Hammer 3X
Turn 608, Prize = Life 30 min
Turn 609, Prize = Hammer 1X
Turn 610, Prize = Brush 1X
Turn 611, Prize = Hammer 1X
Turn 612, Prize = Brush 3X
Turn 613, Prize = Life 30 min
Turn 614, Prize = Brush 1X
Turn 615, Prize = Hammer 1X
Turn 616, Prize = Brush 1X
Turn 617, Prize = Life 30 min
Turn 618, Prize = Brush 3X
Turn 619, Prize = Coin 750
Turn 620, Prize = Gem 75
Turn 621, Prize = Life 30 min
Turn 622, Prize = Hammer 3X
Turn 623, Prize = Life 30 min
Turn 624, Prize = Life 30 min
Turn 625, Prize = Life 30 min
Turn 626, Prize = Gem 75
Turn 627, Prize = Brush 1X
Turn 628, Prize = Hammer 3X
Turn 629, Prize = Brush 1X
Turn 630, Prize = Hammer 1X
Turn 631, Prize = Hammer 1X
Turn 632, Prize = Life 30 min
Turn 633, Prize = Brush 3X
Turn 634, Prize = Brush 1X
Turn 635, Prize = Gem 35
Turn 636, Prize = Hammer 1X
Turn 637, Prize = Hammer 3X
Turn 638, Prize = Hammer 1X
Turn 639, Prize = Gem 35
Turn 640, Prize = Brush 1X
Turn 641, Prize = Life 30 min
Turn 642, Prize = Gem 35
Turn 643, Prize = Gem 75
Turn 644, Prize = Life 30 min
Turn 645, Prize = Hammer 1X
Turn 646, Prize = Hammer 1X
Turn 647, Prize = Brush 3X
Turn 648, Prize = Life 30 min
Turn 649, Prize = Brush 3X
Turn 650, Prize = Gem 35
Turn 651, Prize = Life 30 min
Turn 652, Prize = Hammer 1X
Turn 653, Prize = Hammer 1X
Turn 654, Prize = Brush 1X
Turn 655, Prize = Hammer 3X
Turn 656, Prize = Brush 1X
Turn 657, Prize = Life 30 min
Turn 658, Prize = Brush 1X
Turn 659, Prize = Hammer 1X
Turn 660, Prize = Gem 75
Turn 661, Prize = Hammer 3X
Turn 662, Prize = Brush 3X
Turn 663, Prize = Life 30 min
Turn 664, Prize = Hammer 1X
Turn 665, Prize = Hammer 3X
Turn 666, Prize = Gem 35
Turn 667, Prize = Hammer 1X
Turn 668, Prize = Brush 1X
Turn 669, Prize = Coin 750
Turn 670, Prize = Coin 750
Turn 671, Prize = Gem 35
Turn 672, Prize = Life 30 min
Turn 673, Prize = Gem 35
Turn 674, Prize = Brush 1X
Turn 675, Prize = Gem 75
Turn 676, Prize = Hammer 3X
Turn 677, Prize = Brush 3X
Turn 678, Prize = Hammer 1X
Turn 679, Prize = Brush 1X
Turn 680, Prize = Life 30 min
Turn 681, Prize = Hammer 1X
Turn 682, Prize = Hammer 3X
Turn 683, Prize = Brush 3X
Turn 684, Prize = Life 30 min
Turn 685, Prize = Hammer 1X
Turn 686, Prize = Gem 35
Turn 687, Prize = Hammer 1X
Turn 688, Prize = Life 30 min
Turn 689, Prize = Life 30 min
Turn 690, Prize = Brush 3X
Turn 691, Prize = Hammer 1X
Turn 692, Prize = Hammer 1X
Turn 693, Prize = Brush 1X
Turn 694, Prize = Gem 35
Turn 695, Prize = Life 30 min
Turn 696, Prize = Hammer 1X
Turn 697, Prize = Hammer 1X
Turn 698, Prize = Brush 3X
Turn 699, Prize = Hammer 1X
Turn 700, Prize = Hammer 1X
Turn 701, Prize = Hammer 1X
Turn 702, Prize = Gem 75
Turn 703, Prize = Gem 75
Turn 704, Prize = Life 30 min
Turn 705, Prize = Hammer 1X
Turn 706, Prize = Brush 3X
Turn 707, Prize = Brush 1X
Turn 708, Prize = Hammer 1X
Turn 709, Prize = Gem 75
Turn 710, Prize = Life 30 min
Turn 711, Prize = Hammer 3X
Turn 712, Prize = Hammer 1X
Turn 713, Prize = Life 30 min
Turn 714, Prize = Brush 3X
Turn 715, Prize = Hammer 1X
Turn 716, Prize = Gem 35
Turn 717, Prize = Life 30 min
Turn 718, Prize = Brush 1X
Turn 719, Prize = Brush 3X
Turn 720, Prize = Hammer 1X
Turn 721, Prize = Hammer 1X
Turn 722, Prize = Coin 750
Turn 723, Prize = Life 30 min
Turn 724, Prize = Hammer 3X
Turn 725, Prize = Hammer 1X
Turn 726, Prize = Gem 75
Turn 727, Prize = Gem 75
Turn 728, Prize = Hammer 1X
Turn 729, Prize = Brush 1X
Turn 730, Prize = Brush 1X
Turn 731, Prize = Hammer 1X
Turn 732, Prize = Hammer 1X
Turn 733, Prize = Hammer 1X
Turn 734, Prize = Gem 75
Turn 735, Prize = Brush 1X
Turn 736, Prize = Brush 1X
Turn 737, Prize = Hammer 1X
Turn 738, Prize = Hammer 1X
Turn 739, Prize = Brush 1X
Turn 740, Prize = Life 30 min
Turn 741, Prize = Life 30 min
Turn 742, Prize = Gem 35
Turn 743, Prize = Life 30 min
Turn 744, Prize = Hammer 1X
Turn 745, Prize = Brush 3X
Turn 746, Prize = Hammer 3X
Turn 747, Prize = Hammer 1X
Turn 748, Prize = Brush 1X
Turn 749, Prize = Gem 75
Turn 750, Prize = Gem 35
Turn 751, Prize = Brush 1X
Turn 752, Prize = Hammer 3X
Turn 753, Prize = Gem 35
Turn 754, Prize = Brush 1X
Turn 755, Prize = Brush 1X
Turn 756, Prize = Brush 3X
Turn 757, Prize = Brush 1X
Turn 758, Prize = Hammer 1X
Turn 759, Prize = Hammer 1X
Turn 760, Prize = Brush 1X
Turn 761, Prize = Life 30 min
Turn 762, Prize = Life 30 min
Turn 763, Prize = Hammer 1X
Turn 764, Prize = Brush 3X
Turn 765, Prize = Hammer 1X
Turn 766, Prize = Hammer 1X
Turn 767, Prize = Gem 75
Turn 768, Prize = Brush 1X
Turn 769, Prize = Hammer 3X
Turn 770, Prize = Life 30 min
Turn 771, Prize = Brush 1X
Turn 772, Prize = Gem 75
Turn 773, Prize = Hammer 1X
Turn 774, Prize = Coin 750
Turn 775, Prize = Brush 3X
Turn 776, Prize = Life 30 min
Turn 777, Prize = Life 30 min
Turn 778, Prize = Brush 1X
Turn 779, Prize = Hammer 1X
Turn 780, Prize = Gem 75
Turn 781, Prize = Gem 35
Turn 782, Prize = Hammer 3X
Turn 783, Prize = Brush 1X
Turn 784, Prize = Brush 3X
Turn 785, Prize = Hammer 1X
Turn 786, Prize = Brush 3X
Turn 787, Prize = Hammer 1X
Turn 788, Prize = Life 30 min
Turn 789, Prize = Life 30 min
Turn 790, Prize = Hammer 3X
Turn 791, Prize = Brush 3X
Turn 792, Prize = Brush 1X
Turn 793, Prize = Life 30 min
Turn 794, Prize = Life 30 min
Turn 795, Prize = Gem 35
Turn 796, Prize = Hammer 1X
Turn 797, Prize = Hammer 1X
Turn 798, Prize = Brush 1X
Turn 799, Prize = Gem 75
Turn 800, Prize = Brush 3X
Turn 801, Prize = Life 30 min
Turn 802, Prize = Hammer 3X
Turn 803, Prize = Brush 3X
Turn 804, Prize = Life 30 min
Turn 805, Prize = Life 30 min
Turn 806, Prize = Coin 750
Turn 807, Prize = Hammer 1X
Turn 808, Prize = Life 30 min
Turn 809, Prize = Brush 1X
Turn 810, Prize = Life 30 min
Turn 811, Prize = Brush 1X
Turn 812, Prize = Life 30 min
Turn 813, Prize = Hammer 1X
Turn 814, Prize = Life 30 min
Turn 815, Prize = Gem 75
Turn 816, Prize = Gem 35
